,scenario,seed,model,rmse,calib_err,width_mean,width_median,width_std,width_p90,mean_containment
0,linear_gaussian,0,LinearRegression,0.9166733242726602,0.14185258419579688,,,,,
1,linear_gaussian,0,LinearRegression CVAP - 1,1.9883312601669623,1.191901249401069,0.6956536569516863,0.6784725950284182,0.11759574424643947,0.814067793925417,0.92
2,linear_gaussian,0,LinearRegression CVAP - 10,2.3301778461790663,1.4775504540576918,0.3743493366068725,0.4008055012895736,0.07933206569227685,0.4482227944839505,0.69
3,linear_gaussian,0,Ridge,0.9174122986030568,0.14489068562052698,,,,,
4,linear_gaussian,0,Ridge CVAP - 1,1.9881868200215038,1.1917287809401875,0.6955265900556514,0.6784725950284182,0.11759834190301872,0.814067793925417,0.92
5,linear_gaussian,0,Ridge CVAP - 10,2.329944093220486,1.4771673888253865,0.3742599362178818,0.4006674091629313,0.07928616660086721,0.4482227944839505,0.69
6,linear_gaussian,0,Lasso,2.978507086306121,1.5459578397426912,,,,,
7,linear_gaussian,0,Lasso CVAP - 1,2.7903381022358826,1.1238836766480842,0.562698011066687,0.5218214307136618,0.17211049563240857,0.8122751423345521,0.385
8,linear_gaussian,0,Lasso CVAP - 10,3.0268884399825247,1.4689808851287138,0.29877840170193465,0.315788677470596,0.0583964792172336,0.37123952406571137,0.19
9,linear_gaussian,0,ElasticNet,2.6321543806898116,1.7111707157442595,,,,,
10,linear_gaussian,0,ElasticNet CVAP - 1,2.220747031985003,1.1090949286426448,0.6442758973431757,0.6117688901493696,0.13839327793177114,0.8547330844120595,0.635
11,linear_gaussian,0,ElasticNet CVAP - 10,2.530466238822282,1.4318965193197126,0.3430987605344765,0.34076151702810387,0.05463332349194275,0.4172723253031123,0.375
12,linear_gaussian,0,SVR(RBF),1.7505313464535035,0.7036024463346382,,,,,
13,linear_gaussian,0,SVR(RBF) CVAP - 1,2.159489952396454,1.1652057145755406,0.650943095432318,0.6294177826801005,0.07608714988236276,0.7195810012372489,0.825
