,scenario,model,mean,std,count
9,covariate_shift,LinearRegression,2.9588022356198933,0.15813167234099312,10
15,covariate_shift,Ridge,2.9590411973295425,0.1580223506894686,10
16,covariate_shift,Ridge CVAP - 1,3.3520522896085283,0.46410009548322095,10
10,covariate_shift,LinearRegression CVAP - 1,3.352273665905186,0.4643356582793382,10
3,covariate_shift,GradientBoosting,3.3934938519970985,0.27357277561979754,10
12,covariate_shift,RandomForest,3.446295395840983,0.48953992955758246,10
1,covariate_shift,ElasticNet CVAP - 1,3.4927777386103296,0.5317995678513299,10
17,covariate_shift,Ridge CVAP - 10,3.560306651555687,0.6043680877157502,10
11,covariate_shift,LinearRegression CVAP - 10,3.5605794343675483,0.6045599961922646,10
4,covariate_shift,GradientBoosting CVAP - 1,3.6138804333739074,0.5314106591028109,10
13,covariate_shift,RandomForest CVAP - 1,3.647458926230859,0.6372179557120271,10
2,covariate_shift,ElasticNet CVAP - 10,3.6740284509586507,0.6606446072901503,10
18,covariate_shift,SVR(RBF),3.763543649283863,0.7608417326467118,10
5,covariate_shift,GradientBoosting CVAP - 10,3.765360940201915,0.6551008616847939,10
0,covariate_shift,ElasticNet,3.77413621286719,0.6640942205871287,10
14,covariate_shift,RandomForest CVAP - 10,3.8046735938984115,0.7490055530194766,10
7,covariate_shift,Lasso CVAP - 1,3.833062732966178,0.6503369367486215,10
19,covariate_shift,SVR(RBF) CVAP - 1,3.8332192278600425,0.8090152767559936,10
8,covariate_shift,Lasso CVAP - 10,3.9622827374815714,0.7381438378284882,10
20,covariate_shift,SVR(RBF) CVAP - 10,3.9625478848111984,0.8736935845410057,10
6,covariate_shift,Lasso,4.085649098162845,0.7772661082735278,10
24,friedman1,GradientBoosting,3.356937710077993,0.20771662036695435,10
33,friedman1,RandomForest,3.542977540127332,0.20385293914912825,10
25,friedman1,GradientBoosting CVAP - 1,3.628054280802929,0.24129572358541204,10
39,friedman1,SVR(RBF),3.6904325769740254,0.23126159380049965,10
34,friedman1,RandomForest CVAP - 1,3.773696931765895,0.21754527096941376,10
40,friedman1,SVR(RBF) CVAP - 1,3.810743784879606,0.23919905778562012,10
26,friedman1,GradientBoosting CVAP - 10,3.8645657600822574,0.26084333165915935,10
36,friedman1,Ridge,3.8902211082893294,0.2632019313973966,10
30,friedman1,LinearRegression,3.8905342533780356,0.26337660518719314,10
35,friedman1,RandomForest CVAP - 10,3.9926674909727113,0.24659993365958485,10
31,friedman1,LinearRegression CVAP - 1,4.010345061775313,0.2557420334141102,10
37,friedman1,Ridge CVAP - 1,4.010607912046238,0.2557609285160813,10
22,friedman1,ElasticNet CVAP - 1,4.020055775711411,0.2345838683656076,10
41,friedman1,SVR(RBF) CVAP - 10,4.027170726298312,0.2654349676718389,10
28,friedman1,Lasso CVAP - 1,4.111033576233362,0.23385610862831327,10
32,friedman1,LinearRegression CVAP - 10,4.200875838011538,0.27199051171304856,10
38,friedman1,Ridge CVAP - 10,4.201083074523352,0.2719670392098267,10
23,friedman1,ElasticNet CVAP - 10,4.207302360917709,0.25219449315767895,10
27,friedman1,Lasso,4.269758690134353,0.2585615000309115,10
29,friedman1,Lasso CVAP - 10,4.290619333050762,0.25456144709338535,10
21,friedman1,ElasticNet,4.293004964016338,0.26088274997319705,10
42,friedman2,ElasticNet,3.0647624412056893,0.06375573650215163,10
48,friedman2,Lasso,3.0647624412056893,0.06375573650215163,10
44,friedman2,ElasticNet CVAP - 10,3.0651419399139033,0.06729389301562107,10
50,friedman2,Lasso CVAP - 10,3.0651419399139033,0.06729389301562107,10
43,friedman2,ElasticNet CVAP - 1,3.065431058432066,0.06515446970997188,10
49,friedman2,Lasso CVAP - 1,3.065431058432066,0.06515446970997188,10
57,friedman2,Ridge,3.0722005666837546,0.06585407754754852,10
51,friedman2,LinearRegression,3.072227050624258,0.06585758362321635,10
62,friedman2,SVR(RBF) CVAP - 10,3.0725112682365077,0.08049060232421006,10
47,friedman2,GradientBoosting CVAP - 10,3.0788875985289126,0.07785517385914263,10
53,friedman2,LinearRegression CVAP - 10,3.079551979069053,0.07528118958824129,10
59,friedman2,Ridge CVAP - 10,3.079578819430119,0.07527096742409824,10
56,friedman2,RandomForest CVAP - 10,3.0821128320183866,0.07921055396010347,10
61,friedman2,SVR(RBF) CVAP - 1,3.085806551385631,0.08510636993542392,10
46,friedman2,GradientBoosting CVAP - 1,3.0942750651093034,0.0778125846061093,10
55,friedman2,RandomForest CVAP - 1,3.099154838440427,0.08218066231070476,10
52,friedman2,LinearRegression CVAP - 1,3.1014085540966634,0.07883368363527138,10
58,friedman2,Ridge CVAP - 1,3.1014306029212078,0.07881031280448475,10
60,friedman2,SVR(RBF),3.1118445008800024,0.07881595045703674,10
45,friedman2,GradientBoosting,3.205231195588199,0.07834787875230742,10
54,friedman2,RandomForest,3.219947930016667,0.11015161086177357,10
75,friedman3,RandomForest,20.751240847697908,2.284200881494679,10
66,friedman3,GradientBoosting,23.262219925325233,1.9410747903532983,10
69,friedman3,Lasso,138.64934805229706,7.930211198977864,10
78,friedman3,Ridge,138.67331624575192,7.815107049650536,10
72,friedman3,LinearRegression,138.67873239793863,7.800259129669741,10
76,friedman3,RandomForest CVAP - 1,140.9614232399854,9.51938632778577,10
67,friedman3,GradientBoosting CVAP - 1,141.80986231744888,10.189028958891999,10
79,friedman3,Ridge CVAP - 1,152.19860441165068,11.860310433020784,10
73,friedman3,LinearRegression CVAP - 1,152.1990394471739,11.86647236714849,10
70,friedman3,Lasso CVAP - 1,152.23590469450266,11.88891617911984,10
64,friedman3,ElasticNet CVAP - 1,152.42523562881047,11.924549134860365,10
82,friedman3,SVR(RBF) CVAP - 1,171.6318845661921,13.636990721852854,10
77,friedman3,RandomForest CVAP - 10,172.57609111917913,15.805508711812788,10
68,friedman3,GradientBoosting CVAP - 10,172.95119048669912,15.838479624812928,10
63,friedman3,ElasticNet,180.9232590489993,16.25494952333842,10
80,friedman3,Ridge CVAP - 10,182.13501736983372,15.841850988934908,10
74,friedman3,LinearRegression CVAP - 10,182.13567847736658,15.846083386372516,10
71,friedman3,Lasso CVAP - 10,182.15399178594689,15.87315090463944,10
65,friedman3,ElasticNet CVAP - 10,182.22577505374664,15.992562539637035,10
83,friedman3,SVR(RBF) CVAP - 10,192.6182657698939,19.82641653700607,10
81,friedman3,SVR(RBF),342.29790249238647,28.401248521765694,10
93,heavy_tailed,LinearRegression,5.273856668916153,0.4648184754530447,10
99,heavy_tailed,Ridge,5.273885956725886,0.4648155422268675,10
100,heavy_tailed,Ridge CVAP - 1,5.417853917090054,0.46659067726573644,10
94,heavy_tailed,LinearRegression CVAP - 1,5.417937783990096,0.4666268815742197,10
102,heavy_tailed,SVR(RBF),5.469560544377523,0.46090741650376776,10
85,heavy_tailed,ElasticNet CVAP - 1,5.482444465050115,0.4522186937031184,10
103,heavy_tailed,SVR(RBF) CVAP - 1,5.497256328250451,0.4836308633192987,10
101,heavy_tailed,Ridge CVAP - 10,5.536967152854836,0.4736291033734409,10
95,heavy_tailed,LinearRegression CVAP - 10,5.53705184057007,0.4735006248792426,10
96,heavy_tailed,RandomForest,5.577426352015011,0.48487130716239546,10
86,heavy_tailed,ElasticNet CVAP - 10,5.591451934744795,0.4672870298624442,10
104,heavy_tailed,SVR(RBF) CVAP - 10,5.5949801773072885,0.4929175758909597,10
87,heavy_tailed,GradientBoosting,5.612459524564942,0.4624788789502616,10
97,heavy_tailed,RandomForest CVAP - 1,5.6140357676308215,0.4650326545275344,10
88,heavy_tailed,GradientBoosting CVAP - 1,5.618317850024752,0.47237748206361513,10
84,heavy_tailed,ElasticNet,5.671219247147249,0.49519114653257146,10
91,heavy_tailed,Lasso CVAP - 1,5.691875529499727,0.49062154942710595,10
98,heavy_tailed,RandomForest CVAP - 10,5.69920236833667,0.4881671037023575,10
89,heavy_tailed,GradientBoosting CVAP - 10,5.702693272349277,0.4984085992533472,10
92,heavy_tailed,Lasso CVAP - 10,5.775611499920304,0.5132813787700969,10
90,heavy_tailed,Lasso,5.813550894252887,0.5256941813383632,10
120,heteroscedastic,Ridge,4.309688990030557,0.20283791396033393,10
114,heteroscedastic,LinearRegression,4.309797446816827,0.20301141999843347,10
121,heteroscedastic,Ridge CVAP - 1,4.4838701759024815,0.23005634855777193,10
115,heteroscedastic,LinearRegression CVAP - 1,4.48406188478791,0.22996460990929415,10
106,heteroscedastic,ElasticNet CVAP - 1,4.557267827828579,0.24802263646937794,10
123,heteroscedastic,SVR(RBF),4.562482440372472,0.2697848753195637,10
108,heteroscedastic,GradientBoosting,4.564208589460327,0.26723344036855173,10
117,heteroscedastic,RandomForest,4.602786888421614,0.18810796826087497,10
124,heteroscedastic,SVR(RBF) CVAP - 1,4.621747600086726,0.2799792623207972,10
122,heteroscedastic,Ridge CVAP - 10,4.640291874874766,0.26403604499326516,10
116,heteroscedastic,LinearRegression CVAP - 10,4.6404798079344065,0.263933056705664,10
109,heteroscedastic,GradientBoosting CVAP - 1,4.669244872802753,0.2541033174159497,10
